Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
262.5348362923,59.6615462852,10.6760424717,6614911.5200167680,594432.3994123145
263.5347375870,59.6615481312,10.6760468217,6614911.7317364607,594432.6392774609
264.5349900723,59.6615497162,10.6760511750,6614911.9144015303,594432.8800642240
265.5354156494,59.6615514975,10.6760556800,6614912.1191418711,594433.1288430080
266.5363645554,59.6615533795,10.6760599933,6614912.3348176368,594433.3665412492
267.5359718800,59.6615553358,10.6760646333,6614912.5592343332,594433.6224330926
268.5351030827,59.6615571760,10.6760691033,6614912.7704753540,594433.8690746563
269.5337655544,59.6615590013,10.6760734683,6614912.9799154848,594434.1098427674
270.5351598263,59.6615608607,10.6760780533,6614913.1934541380,594434.3629088614
271.6143686771,59.6615626410,10.6760825217,6614913.3980310755,594434.6096246887
272.5736374855,59.6615645365,10.6760870400,6614913.6155016618,594434.8588333935
273.5353562832,59.6615663477,10.6760915850,6614913.8236206472,594435.1097814532
274.5804083347,59.6615678655,10.6760958317,6614913.9986558780,594435.3447477984
275.6452956200,59.6615697375,10.6761005750,6614914.2138301674,594435.6066977778
276.5368123055,59.6615715903,10.6761049717,6614914.4263772769,594435.8491723009
277.5370607376,59.6615734567,10.6761096650,6614914.6408495465,594436.1083214263
278.5361585617,59.6615752835,10.6761142050,6614914.8507058090,594436.3589436223
278.5361585617,59.6615772553,10.6761186400,6614915.0765568027,594436.6032429431
279.5357868671,59.6615791918,10.6761231100,6614915.2985236458,594436.8496132959
280.5361325741,59.6615810225,10.6761275517,6614915.5086668544,594437.0946850620
281.5359306335,59.6615828195,10.6761320900,6614915.7151992116,594437.3452971404
282.5357606411,59.6615848285,10.6761365950,6614915.9452879475,594437.5934352549
283.5368287563,59.6615867167,10.6761410617,6614916.1618687455,594437.8397536168
284.5379858017,59.6615885092,10.6761455867,6614916.3678811602,594438.0896271364
285.5374689102,59.6615904495,10.6761501583,6614916.5904195448,594438.3417138812
286.5491392612,59.6615921483,10.6761544767,6614916.7857092358,594438.5802082545
287.5379643440,59.6615940912,10.6761591317,6614917.0086445659,594438.8369824566
288.5374886990,59.6615959938,10.6761636000,6614917.2268422274,594439.0833537939
289.5379974842,59.6615978095,10.6761680717,6614917.4353581900,594439.3301575218
290.5378754139,59.6615995820,10.6761725667,6614917.6391012482,594439.5783970765
291.5378856659,59.6616013992,10.6761770950,6614917.8478648746,594439.8283888213
292.5377936363,59.6616032790,10.6761814100,6614918.0633022143,594440.0661862912
293.5390002728,59.6616052622,10.6761859950,6614918.2906287117,594440.3189034843
293.5390002728,59.6616069438,10.6761905983,6614918.4844127111,594440.5735012540
294.4677031040,59.6616088960,10.6761952233,6614918.7083446570,594440.8285589390
295.7219779491,59.6616107827,10.6761997467,6614918.9248392889,594441.0780734366
296.5408556461,59.6616126860,10.6762042417,6614919.1431492707,594441.3259448945
297.4579045773,59.6616143180,10.6762088567,6614919.3314201208,594441.5813394523
298.4560627937,59.6616162137,10.6762133567,6614919.5488836542,594441.8295140847
299.4562349319,59.6616180448,10.6762179333,6614919.7592749419,594442.0821890412
300.4565591812,59.6616198987,10.6762223950,6614919.9720262997,594442.3283217631
301.4583730698,59.6616215347,10.6762268850,6614920.1605647244,594442.5766631546
302.4576027393,59.6616233560,10.6762312933,6614920.3696217304,594442.8198827072
303.4565477371,59.6616251948,10.6762357517,6614920.5806983151,594443.0658697458
304.4567484856,59.6616268193,10.6762401017,6614920.7677571988,594443.3063565708
305.4571225643,59.6616286365,10.6762445917,6614920.9764665384,594443.5541884087
306.4576249123,59.6616306015,10.6762490900,6614921.2016473096,594443.8020739557
307.4576375484,59.6616325148,10.6762536300,6614921.4211348882,594444.0524520326
308.4584283829,59.6616343495,10.6762582233,6614921.6319397297,594444.3060558020
308.4584283829,59.6616362582,10.6762625783,6614921.8506445345,594444.5460250676
309.4570276737,59.6616382592,10.6762668767,6614922.0795489931,594444.7825423684
310.4576251507,59.6616401552,10.6762713833,6614922.2970593413,594445.0310912561
311.4579217434,59.6616420882,10.6762758183,6614922.5185872633,594445.2754987642
312.4580028057,59.6616438200,10.6762800733,6614922.7174614649,594445.5103317464
313.4585235119,59.6616457563,10.6762845350,6614922.9393984936,594445.7562320766
