Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
266.4844725132,59.6611982290,10.6751092583,6614871.4406355787,594380.8052779288
267.4549245834,59.6611962752,10.6751045733,6614871.2164369216,594380.5468379763
268.4946956635,59.6611947708,10.6750997883,6614871.0421428205,594380.2815013190
269.4534308910,59.6611928108,10.6750949833,6614870.8170869863,594380.0163184095
270.4613480568,59.6611910623,10.6750901017,6614870.6154702874,594379.7462220957
271.4685754776,59.6611891157,10.6750851583,6614870.3917023204,594379.4732086151
272.4662463665,59.6611874713,10.6750804317,6614870.2019038247,594379.2115514847
273.4523277283,59.6611856300,10.6750755700,6614869.9899796871,594378.9428426574
274.4521040916,59.6611837797,10.6750707983,6614869.7771814838,594378.6792292621
275.4918630123,59.6611819017,10.6750659083,6614869.5611346774,594378.4090272447
275.4918630123,59.6611800468,10.6750609683,6614869.3475961462,594378.1359433340
276.4888594151,59.6611781687,10.6750560900,6614869.1315474147,594377.8663989670
277.4704585075,59.6611763327,10.6750513467,6614868.9203854296,594377.6043413379
278.4664204121,59.6611745335,10.6750465433,6614868.7132391268,594377.3388000608
279.4653661251,59.6611727053,10.6750417150,6614868.5028284760,594377.0719318637
280.4642002583,59.6611708675,10.6750369017,6614868.2913628966,594376.8059358288
281.4641687870,59.6611690245,10.6750322200,6614868.0795092937,594376.5473717590
282.4757328033,59.6611672633,10.6750274667,6614867.8766650269,594376.2845403468
283.4643144608,59.6611654453,10.6750225267,6614867.6672276277,594376.0113526902
284.4636385441,59.6611636357,10.6750178800,6614867.4591351338,594375.7546666005
285.4642465115,59.6611617750,10.6750130083,6614867.2450444791,594375.4854483535
286.4740180969,59.6611599675,10.6750081250,6614867.0368567631,594375.2154234338
287.4735898972,59.6611580520,10.6750031850,6614866.8165639248,594374.9425096274
288.4652819633,59.6611562457,10.6749984417,6614866.6087051947,594374.6803683086
289.5397343636,59.6611544655,10.6749936033,6614866.4036247749,594374.4128015812
290.4740171432,59.6611525280,10.6749887617,6614866.1810223525,594374.1454891369
291.4826240540,59.6611507242,10.6749839883,6614865.9733993700,594373.8816506454
291.4826240540,59.6611487740,10.6749792667,6614865.7495573089,594373.6211339672
292.4556372166,59.6611468808,10.6749745433,6614865.5320592038,594373.3603632002
293.4416370392,59.6611450783,10.6749699117,6614865.3247861462,594373.1045017078
294.4430358410,59.6611432925,10.6749651550,6614865.1191910310,594372.8415514418
295.4811222553,59.6611413545,10.6749603533,6614864.8965899246,594372.5764936291
296.4452731609,59.6611394740,10.6749554983,6614864.6803149842,594372.3082696666
297.4352891445,59.6611377298,10.6749507300,6614864.4793424504,594372.0445449878
298.4340360165,59.6611359683,10.6749460550,6614864.2765727593,594371.7861269484
299.4366056919,59.6611340558,10.6749413267,6614864.0569151258,594371.5251286189
300.4362525940,59.6611321470,10.6749365633,6614863.8376159919,594371.2621482194
301.4350535870,59.6611303052,10.6749317683,6614863.6257315436,594370.9971955772
302.4384038448,59.6611286033,10.6749269750,6614863.4294368988,594370.7319434207
303.4363448620,59.6611266828,10.6749223567,6614863.2090450181,594370.4771643355
304.4363372326,59.6611249052,10.6749177417,6614863.0045607677,594370.2221716692
305.4377403259,59.6611230615,10.6749129183,6614862.7924319915,594369.9556278923
306.4349751472,59.6611211858,10.6749081417,6614862.5768067446,594369.6918029815
306.4349751472,59.6611194060,10.6749033550,6614862.3718372546,594369.4271454150
307.5374686718,59.6611174637,10.6748983667,6614862.1484885430,594369.1515834467
308.4371199608,59.6611156300,10.6748936233,6614861.9375869688,594368.8895182784
309.5199365616,59.6611139722,10.6748889650,6614861.7463833028,594368.6317475353
